id,tmdb_title,imdb_id,overview,cast,director
2,Ariel,0094675,A Finnish man goes to the city to find a job after the mine where he worked is closed and his father commits suicide.,"Eetu Hilkamo, Turo Pajala, Jorma Markkula, Hannu Kivisalo, Esko Salminen, Mikko Lyytikäinen, Erkki Pajala, Sami Lanki, Juuso Hirvikangas, Matti Jaaranen, Esko Nikkari, Jouko Lumme, Hannu Viholainen, Matti Pellonpää, Jaakko Talaskivi, Sakari Kuosmanen, Sirkka Rautiainen, Olli Varja, Kari Helaseppä, Heikki Anttila, Kauko Laalo, Pentti Auer, Mikko Remes, Reijo Marin, Tarja Keinänen, Timo Toikka, Eino Kuusela, Pekka Wilen, Tomi Salmela, Susanna Haavisto, Heikki Salomaa, Timo Harakka, Timo Markko, Merja Pulkkinen, Markku Rantala, Marja Packalén, Hanna Jokinen, Jyrki Olsonen, Veikko Uusimäki",Aki Kaurismäki
3,Shadows in Paradise,0092149,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.","Haije Alanoja, Aki Kaurismäki, Jukka-Pekka Palo, Eskil Mansikka, Antti Ortamo, Olli Varja, Pekka Laiho, Teuvo Rissanen, Pentti Koski, Erkki Rissanen, Marina Martinoff, Sakari Kuosmanen, Mari Rantasila, Malla Hukkanen, Ari Korhonen, Neka Haapanen, Helmeri Pellonpää, Bertta Pellonpää, Ulla Kuosmanen, Tanja Talaskivi, Matti Pellonpää, Sirkka Silin, Kati Outinen, Mato Valtonen, Jussi Tiitinen, Jaakko Talaskivi, Svante Korkiakoski, Riikka Kuosmanen, Safka Pekkonen, Sakke Järvenpää, Kylli Köngäs, Esko Nikkari, Jukka Mäkinen",Aki Kaurismäki
5,Four Rooms,0113101,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Patricia Vonne, Jennifer Beals, Bruce Willis, Amanda de Cadenet, Alicia Witt, Lawrence Bender, Kimberly Blair, Ione Skye, Tim Roth, Kathy Griffin, Valeria Golino, Madonna, Marisa Tomei, Paul Calderon, Antonio Banderas, Marc Lawrence, Unruly Julie McClean, Quinn Hellerman, Paul Skemp, Danny Verduzco, Sammi Davis, David Proval, Tamlyn Tomita, Laura Rush, Quentin Tarantino, Lili Taylor, Lana McKissack, Salma Hayek Pinault","Allison Anders, Quentin Tarantino, Alexandre Rockwell, Robert Rodriguez"
6,Judgment Night,0107286,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","Stephen Dorff, Everlast, Will Zahrn, Emilio Estevez, Lauren Robinson, David L. Crowley, Doug Wert, Eugene Williams, Robert S. Neville, Jeremy Piven, Deirdre Kelly, Michael DeLorenzo, Galyn Görg, Peter Greene, Lydell M. Cheshier, Hank McGill, Raichle Watt, Cuba Gooding Jr., Angela Alvarado, Kathleen Perkins, Donovan D. Ross, Darin Mangan, Nigel Gibbs, Mark Phelan, Christine Harnos, Denis Leary, Relioues Webb, Michael Scranton, Michael Wiseman, Stuart Abramson, Sean O'Grady",Stephen Hopkins
8,Life in Loops (A Megacities RMX),0825671,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world """"megacities"""" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",,Timo Novotny
9,Sunday in August,0425473,,"Rita Lengyel, Milton Welsh","Marc Meyer, Anna Haas"
11,Star Wars,0076759,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"Peter Mayhew, Jerry Walter, Ted Burnett, Joe Kaye, Burnell Tucker, Denis Lawson, Harry Fielder, John Cannon, Reg Harding, Phil Brown, Shelagh Fraser, Kim Falkinburg, Marcus Powell, Mark Hamill, Don Henderson, Drewe Henley, Angus MacInnes, Sadie Eden, Colin Michael Kitchens, Mahjoub, Alfie Curtis, Scott Beach, Isaac Grand, George Roubicek, Alex McCrindle, Jon Berg, Morgan Upton, Al Lampert, Laine Liska, Grant McCune, Alf Mangan, Leslie Schofield, Salo Gardner, Lightning Bear, Diana Sadley Way, Anthony Daniels, Peter Diamond, Richard LeParmentier, Tiffany Hillkurtz, Peter Sturgeon, Bill Weston, Phil Tippett, Joe Johnston, Robert A. Denham, Garrick Hagon, Anthony Lang, Fred Wood, Carrie Fisher, Jeremy Sinden, Colin Higgins, Melissa Kurtz, Hal Wamsley, Janice Burchette, Michael Leader, Paul Blake, Graham Ashley, Frank Henson, Derek Lyons, David Ankrum, Frances Alfred Basil Tomlin, Barry Gnome, Erica Simmons, Gilda Cohen, Angela Staines, John Chapman, Ron Tarr, William Hootkins, Geoffrey Moon, Linda Jones, Lorne Peterson, Tom Sylla, Alan Harris, Ted Gagliano, Malcolm Tierney, Peter Sumner, Doug Beswick, Larry Ward, George Stock, Annette Jones, Pam Rose, Peter Cushing, Roy Straite, Arthur Howell, Jack Klaff, Tommy Ilsley, Barry Copping, Kenny Baker, Alec Guinness, Mandy Morton, Harrison Ford, Shane Rimmer, John Sylla, David Prowse, Frazer Diamond, Tim Condren, Jack Purvis, Warwick Diamond, Eddie Byrne, James Earl Jones, Maria De Aragon, Steve Gawley, Rusty Goffe, Anthony Forrest, Robert Davies",George Lucas
12,Finding Nemo,0266543,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","Jeff Pidgeon, Kali Whitehurst, Danny Mann, Laraine Newman, Ben Stanton, Katherine Ringgold, Jordan Ranft, Alexander Gould, Vanessa Marano, Erik Per Sullivan, Bradley Trevor Greive, Laura Marano, Lee Unkrich, Bill Hunter, Eliza Schneider, Jessie Flower, Alec Medlock, Eric Bana, Geoffrey Rush, Caroline Kindred, Willem Dafoe, Lili Ishida, Stephen Root, Paul Eiding, Nicole Miller, Bob Peterson, Ellen DeGeneres, Barry Humphries, Bobby Block, Marc John Jefferies, Susan Blu, Jan Rabson, Vicki Lewis, Allison Janney, Bob Bergen, Sherry Lynn, Austin Pendleton, Albert Brooks, Brad Garrett, Nicholas Bird, Elizabeth Perkins, Oliver Kindred, Bruce Spence, Evan Sabara, Lisa Peers, Jack Angel, Jane Carr, John Ratzenberger, Phil Proctor, Joe Ranft, Jim Ward, Daryl Sabara, Rove McManus, David Ian Salter, Aaron Fors, Noah Luke, Leland Grossman, Annelise Nolting, Erica Beck, Andrew Stanton, LuLu Ebeling, Emmett Shoemaker, James S. Baker, Geoff Brooks, Jennifer Darling, Jess Harnell, Mickie McGowan, Carlos Alazraqui",Andrew Stanton
13,Forrest Gump,0109830,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","Hilary Chaplain, Valentine, Robb Skyler, Joe Alaskey, John Randall, Matt Wallace, Jim Hanks, Robert F. Kennedy, Hanna Hall, Elvis Presley, John F. Kennedy, Neil Armstrong, Aloysius Gigl, Charles Boswell, Andrew Lepper, Michael Flannery, Isabel Rose, John Lennon, Steve DeRelian, Aaron Izbicki, Mary Ellen Trainor, Michael Garvey, Fay Genens, Dick Clark, Michael McFall, Byron Minns, Keri-Anne Bilotta, Steven Griffith, Siobhan Fallon Hogan, Geoffrey Blake, W. Benson Terry, Sam Anderson, Bobby Richardson, Tom Hanks, Jason McGuire, Jeffrey Winner, Rebecca Williams, Mike Jolly, Lyndon B. Johnson, James Ent, John Glenn Harding, Leigh Goodoff, Darren W. Conrad, Conor Kennelly, Tyler Long, Markus Alexander, Vanessa Roth, Michael Jace, Arthur Bremer, Eric Alan Wendell, Lazarus Jackson, Gerald Ford, Michael Conner Humphreys, Tim Perry, Grand L. Bush, Kenneth Bevington, John Connally, Pete Auster, John-Michael Steele, Kirk Ward, Gary Robinson, Bob Penny, Danté McCarthy, William Shipman, Darrell O'Cook, Bill Roberson, John Simmit, Zhuang Zedong, Bryan Hanna, Grady Bowman, Jenny Inge Devaney, Logan Livingston Gomez, Afemo Omilami, Nora Dunfee, John Voldstad, Brendan Shanahan, Timothy Record, Deborah McTeer, Emily Carey, Jim Keller, Tiffany Salerno, Daniel Chamblin, Jeanne Hanna, Russ Wilson, Matt Rebenkoff, Richard D'Alessandro, Timothy McNeil, Dick Cavett, Ed Davis, Bonnie Ann Burgess, Aaron Michael Lacey, Joe Abby, Daniel J. Gillooly, Russ Isles, Harold G. Herthum, John Worsham, Elizabeth Hanks, Christopher James Hall, Stephen Bridgewater, Daniel C. Striepeke, Dick Stilwell, Ryan Duncan, Paul Raczkowski, Brett Rice, Juan Singleton, Ben Waddel, Teresa Denton, Ronald Reagan, Sonny Shroyer, Mark Matheisen, Haley Joel Osment, Lenny Herb, George Kelly, Marlena Smalls, Robin Wright, Margo Moorer, Scott Oliver, Frank Geyer, Alexander Zemeckis, Jed Gillin, Kurt Russell, Neal MacMillan, David Brisbin, Peter Bannon, Michael J. Oliver, Clint Calvert, John William Galt, Jay Ross, Bob Harks, Marla Sucharetza, Joe Stefanelli, Hallie D'Amore, Bob Hope, Al Harrington, Gary Sinise, Jim Damron, Ione M. Telech, Greg Brown, Zach Hanner, Rob Adams, Beau Lotterman, Eric Underwood, Don Fischer, Kitty K. Green, Christopher Jones, Rob Landry, Richard Nixon, Bruce Lucvia, Jim Boeke, Michael Burgess, George Wallace, Paulie DiCocco, Kevin Davis, Michael Mattison, Christine Seabrook, Jack Bowden, Mykelti Williamson, Sally Field, Todd Adamson, Natalie Hendrix Tate, Ellsworth Hanna, Marcus Batton, Peter Dobson, Lonnie Hamilton, Jacqueline Lovell, Mark A. Rich, Teddy Lane Jr., Troy Christian, Calvin Gadsden, Kevin Mangan, Michael Kemmerling, Beth Aylward, Chiffonye Cobb, Angela Lomas, Michael Satterfield, Joe Washington",Robert Zemeckis
14,American Beauty,0169547,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","James Hunter, Annette Bening, Chekesha Van Putten, Nancy Anderson, Elaine Corral Kendall, Chelsea Hertford, Brenda Wehle, Kent Faulcon, John Cho, Spencer Kayden, Mona Leah, Bruce Cohen, Allison Janney, Lily Houtkin, Heather Joy Sher, Joel McCrary, Thora Birch, Sue Casey, Scott Bakula, Fort Atkinson, Marissa Jaret Winokur, Reshma Gajjar, Alison Faulk, Sam Robards, Erin Cathryn Strubbe, Lisa Cloud, Peter Gallagher, Amber Smith, Tom Miller, Chris Cooper, Wes Bentley, Ara Celi, Mena Suvari, Emily Zachary, Kevin Spacey, Barry Del Sherman, Krista Goodsitt, Dennis Anderson, Matthew Kimbrough, Stephanie Rizzo, Carolina Lancaster",Sam Mendes
